№;Контекст;Русский;English;Español
311;SecretKeysWindow;✓ Ключ сгенерирован успешно!;✓ Key generated successfully!;✓ ¡Clave generada correctamente!
312;SecretKeysWindow;✗ Введите серийный номер;✗ Enter the serial number;✗ Introduzca el número de serie
313;SecretKeysWindow;Сгенерированный ключ:;Generated key:;Clave generada:
314;SecretKeysWindow;Проверка ключа;Key verification;Verificación de clave
315;SecretKeysWindow;Ключ для проверки:;Key to verify:;Clave a verificar:
316;SecretKeysWindow;Проверить ключ;Verify key;Verificar clave
317;SecretKeysWindow;✓ КЛЮЧ ВЕРНЫЙ! Проверка пройдена успешно;✓ KEY IS VALID! Verification passed;✓ ¡CLAVE CORRECTA! Verificación superada
318;SecretKeysWindow;✗ КЛЮЧ НЕВЕРНЫЙ! Проверка не пройдена;✗ KEY IS INVALID! Verification failed;✗ ¡CLAVE INCORRECTA! Verificación fallida
319;SecretKeysWindow;✗ Заполните все поля;✗ Fill in all fields;✗ Rellene todos los campos
320;SecretKeysWindow;ℹ️ Информация:;ℹ️ Information:;ℹ️ Información:
321;SecretKeysWindow;• Ключи генерируются криптографическим алгоритмом SHA-256;• Keys are generated with the SHA-256 cryptographic algorithm;• Las claves se generan con el algoritmo criptográfico SHA-256
322;SecretKeysWindow;• Для каждого типа аппарата и функции формируется отдельный 12-значный ключ;• A separate 12-digit key is generated for each unit type and feature;• Se genera una clave distinta de 12 dígitos para cada tipo de equipo y función
323;SecretKeysWindow;• Соседние номера гарантированно имеют различные ключи;• Adjacent serial numbers are guaranteed to have different keys;• Los números consecutivos tienen garantizadas claves diferentes
324;SerialNumberSettings;Введите серийный номер в диапазоне 260 000 - 1 000 000;Enter a serial number in the range 260,000 - 1,000,000;Introduzca un número de serie en el rango 260 000 - 1 000 000
325;SerialNumberSettings;Сохранено;Saved;Guardado
326;SerialNumberSettings;Не сохранено;Not saved;No guardado
327;SerialNumberSettings;СЕРИЙНЫЙ НОМЕР И ТИП;Serial number and type;Número de serie y tipo
328;SerialNumberSettings;Серийный номер;Serial number;Número de serie
329;SerialNumberSettings;Введите серийный номер;ENTER THE DEVICE SERIAL NUMBER;INGRESE EL NÚMERO DE SERIE DEL DISPOSITIVO
330;SerialNumberSettings;Тип аппарата;Unit type;Tipo de equipo
331;SerialNumberSettings;Комментарии;Comments;Comentarios
332;SerialNumberSettings;Дата производства, особенности;Production date, notes;Fecha de fabricación, particularidades
333;SerialNumberSettings;Вход без пароля;Login without password;Acceso sin contraseña
334;SerialNumberSettings;Сохранить;save;guardar
335;SerialNumberSettings;Назад;back;atrás
336;ServiceMenu;Сервисное меню;SERVICE SETTINGS;AJUSTES DE SERVICIO
337;ServiceMenu;СПЕЦ КОМАНДЫ;SPECIAL COMMANDS;COMANDOS ESPECIALES
338;ServiceMenu;Серийный номер;Serial number;Número de serie
339;ServiceMenu;Обновление ПО;Software update;Actualización de software
340;ServiceMenu;Приём файлов по Wi‑Fi;Receive files over Wi‑Fi;Recepción de archivos por Wi‑Fi
341;ServiceMenu;Настройки WiFi;Wi-Fi settings;Ajustes de Wi-Fi
342;ServiceMenu;Об аппарате;About the unit;Acerca del equipo
343;ServiceMenu;Проверка тач-скрина;Touchscreen calibration;Calibración de pantalla táctil
344;ServiceMenu;Лог обновлений;Update log;Registro de actualizaciones
345;ServiceMenu;Секретные ключи;Secret keys;Claves secretas
346;ServiceMenu;Назад;back;atrás
347;SettingsMenu;Настройки;SETTINGS;AJUSTES
348;SettingsMenu;Сервисное меню;SERVICE SETTINGS;AJUSTES DE SERVICIO
349;SettingsMenu;Журнал событий;Event log;Registro de eventos
350;SettingsMenu;ИНФО;INFO;INFO
351;SettingsMenu;RU / EN / ES;RU / EN / ES;RU / EN / ES
352;SettingsMenu;Настройка даты и времени;Date and Time;Fecha y hora
353;SettingsMenu;Разблокировка эндоскопических функций;Unlock endoscopic features;Desbloquear funciones endoscópicas
354;SettingsMenu;Разблокировка аргонусиленной коагуляции;Unlock argon-enhanced coagulation;Desbloquear coagulación asistida por argón
355;SettingsMenu;Назад;back;atrás
356;SettingsMenu;Для доступа к сервисным функциям введите пароль;Enter the password to access service functions;Introduzca la contraseña para acceder a las funciones de servicio
357;SettingsMenu;Пароль;Password;Contraseña
358;SettingsMenu;Неверный пароль;INCORRECT PASSWORD;CONTRASEÑA INCORRECTA
359;SettingsMenu;ОТМЕНА;CANCEL;CANCELAR
360;SettingsMenu;ВОЙТИ;LOG IN;ENTRAR
361;SettingsMenu;Для разблокировки эндоскопических функций введите ключ;Enter the key to unlock endoscopic features;Introduzca la clave para desbloquear las funciones endoscópicas
362;SettingsMenu;123-456-789-012;123-456-789-012;123-456-789-012
363;SettingsMenu;Сначала сохраните серийный номер аппарата;Save the device serial number first;Guarde primero el número de serie del equipo
364;SettingsMenu;РАЗБЛОКИРОВАТЬ;UNLOCK;DESBLOQUEAR
365;SettingsMenu;Для разблокировки аргонусиленной коагуляции введите ключ;Enter the key to unlock argon-enhanced coagulation;Introduzca la clave para desbloquear la coagulación asistida por argón
366;SocketContainerV2;удалить;delete;eliminar
367;SocketContainerV2;Подтверждение удаления;Confirm deletion;Confirmar eliminación
368;SocketContainerV2;Текущий лист программы будет удалён. Продолжить?;The current program sheet will be deleted. Continue?;La hoja de programa actual se eliminará. ¿Continuar?
369;SocketContainerV2;ОТМЕНА;CANCEL;CANCELAR
370;SocketContainerV2;ПРИНЯТЬ;ACCEPT;ACEPTAR
371;SocketEditor;Подача импульсов СРЕДНЯЯ;MEDIUM pulse rate;Pulso MEDIO
372;SocketEditor;Подача импульсов РЕДКАЯ;SLOW pulse rate;Pulso LENTO
373;SocketEditor;Подача импульсов ЧАСТАЯ;FAST pulse rate;Pulso RÁPIDO
374;SocketEditor;Настройка КОАГУЛЯЦИИ для выхода %1;coagulation mode for output %1;modo de coagulación para la salida %1
375;SocketEditor;Настройка РЕЗАНИЯ для выхода %1;cut mode for output %1;modo de corte para la salida %1
376;SocketEditor;X;X;X
377;SocketEditor;Выберите режим;SELECT A MODE;SELECCIONA UN MODO
378;SocketEditor;▲;▲;▲
379;SocketEditor;▼;▼;▼
380;SocketEditor;Выберите инструмент;electrode;electrodo
381;SocketEditor;Установите мощность;SET POWER;ESTABLECER POTENCIA
382;SocketEditor;−;−;−
383;SocketEditor;+;+;+
384;SocketEditor;Установите эффект резания;Set cut eff.;Ajuste ef. de corte
385;SocketEditor;Установите эффект коагуляции;Set coag eff.;Ajuste ef. de coag.
386;SocketEditor;АВТОСТОП;AUTOSTOP;AUTOSTOP
387;SocketEditor;"В режиме АВТОСТОП инструмент активируется с помощью педали.
По завершении коагуляции процесс прекращается автоматически";In AUTO-STOP mode instrument is activated by footswitch. The process stops automatically when coagulation is complete.;En el modo de AUTO-STOP, el instrumento se activa mediante un interruptor de pie. El proceso se detiene automáticamente cuando se completa la coagulación.
388;SocketEditor;АВТОСТАРТ/СТОП;AUTO-START-STOP;AUTO-START-STOP
389;SocketEditor;В режиме АВТОСТАРТ/СТОП активация происходит автоматически без нажатия педали!;In AUTO-START-STOP mode activation occurs automatically without any footswitch actions!;¡En el modo AUTO-START-STOP, la activación se produce automáticamente sin ninguna acción del interruptor de pie!
390;SocketEditor;"В режиме АВТОСТОП инструмент активируется с помощью педали или держателя инструментов.
По завершении коагуляции процесс прекращается автоматически";In AUTO-STOP mode instrument is activated by footswitch or handle button. The process stops automatically when coagulation is complete.;En el modo de AUTO-STOP, el instrumento se activa con el interruptor de pie o el botón del mango. El proceso se detiene automáticamente cuando se completa la coagulación.
391;SocketEditor;Задержка автозапуска;Autostart delay;Retardo de autoarranque
392;SocketEditor;0 сек;0 s;0 s
393;SocketEditor;0.5 сек;0.5 s;0.5 s
394;SocketEditor;1.0 сек;1.0 s;1.0 s
395;SocketEditor;1.5 сек;1.5 s;1.5 s
396;SocketEditor;Рекомендуемый уровень;Recommended level;Nivel recomendado
397;SocketEditor;ОТМЕНА;CANCEL;CANCELAR
398;SocketEditor;ПРИНЯТЬ;ACCEPT;ACEPTAR
399;SocketModel;Не выбран;Not selected;No seleccionado
400;SocketModel;НЕ ВЫБРАН;NOT SELECTED;NO SELECCIONADO
401;SocketNames;БИ1;BI1;BI1
402;SocketNames;БИ2;BI2;BI2
403;SocketNames;МОНО1;MONO1;MONO1
404;SocketNames;МОНО2;MONO2;MONO2
405;SpecialCommands;СПЕЦ КОМАНДЫ;SPECIAL COMMANDS;COMANDOS ESPECIALES
406;SpecialCommands;Эндоскопия: ВКЛ;Endoscopy: ON;Endoscopia: ON
407;SpecialCommands;Эндоскопия: ВЫКЛ;Endoscopy: OFF;Endoscopia: OFF
408;SpecialCommands;Режимы с аргоном: ВКЛ;Argon modes: ON;Modos con argón: ON
409;SpecialCommands;Режимы с аргоном: ВЫКЛ;Argon modes: OFF;Modos con argón: OFF
410;SpecialCommands;UART: ВКЛ;UART: ON;UART: ON
411;SpecialCommands;Вывод UART;UART output;Salida UART
412;SpecialCommands;ЦП: ВКЛ;CPU: ON;CPU: ON
413;SpecialCommands;Вывод загрузки ЦП;CPU load display;Indicador de carga de CPU
414;SpecialCommands;Выкл;Off;Apagado
415;SpecialCommands;Выход в Linux;Exit to Linux;Salir a Linux
416;SpecialCommands;Удалить все пользовательские программы;Delete user programs;Eliminar programas de usuario
417;SpecialCommands;Назад;back;atrás
418;SpecialCommands;Подтверждение удаления;Confirm deletion;Confirmar eliminación
419;SpecialCommands;"Удалить все пользовательские программы?
Это действие необратимо.";All user programs will be DELETED! Continue?;¡Todos los programas de usuario serán BORRADOS! ¿Continuar?
420;StartupInfoScreen;Не указан;Not specified;No especificado
421;StartupInfoScreen;Информация об аппарате;Unit information;Información del equipo
422;StartupInfoScreen;Тип аппарата;Unit type;Tipo de equipo
423;StartupInfoScreen;Серийный номер;Serial number;Número de serie
424;StartupInfoScreen;Версии ПО;Software versions;Versiones de software
425;StartupInfoScreen;НАЗАД;BACK;ATRÁS
426;StatesSocket;не выбран;not selected;no seleccionado
427;StatesSocket; АВТОСТОП; AUTOSTOP; AUTOSTOP
428;StatesSocket; АВТОСТАРТ/СТОП; AUTO-START-STOP; AUTO-START-STOP
429;StmUpdater;Ошибка открытия hex-файла;Failed to open hex file;Error al abrir el archivo hex
430;StmUpdater;Ошибка чтения hex-файла;Failed to read hex file;Error al leer el archivo hex
431;StmUpdater;Ошибка контрольной суммы hex-строки;Hex line checksum error;Error de suma de comprobación de la línea hex
432;StmUpdater;Ошибка символов в hex-файле;Invalid characters in hex file;Caracteres no válidos en el archivo hex
433;StmUpdater;Ошибка завершения hex-файла;Hex file termination error;Error de finalización del archivo hex
434;StyledSwitch;Wi-Fi;Wi-Fi;Wi-Fi
435;TouchScreenTest;Коснитесь экрана для проверки;Touch the screen to test;Comprobación de pantalla táctil
436;TouchScreenTest;"нажато: %1   отпущено: %2   задержка: %3   движение: %4   залипание: %5
Последние события:
%6";"pressed: %1   released: %2   delay: %3   moves: %4   stuck: %5
Recent events:
%6";"pulsado: %1   soltado: %2   retardo: %3   movimiento: %4   bloqueo: %5
Últimos eventos:
%6"
437;TouchScreenTest;%1 мс (20);%1 ms (20);%1 ms (20)
438;TouchScreenTest;—;—;—
439;TouchScreenTest;Нажатие: (%1, %2);Press: (%1, %2);Pulsación: (%1, %2)
440;TouchScreenTest;нажатие (%1, %2);press (%1, %2);pulsación (%1, %2)
441;TouchScreenTest;Поздний release после сброса: %1 мс;Late release after reset: %1 ms;Liberación tardía tras el restablecimiento: %1 ms
442;TouchScreenTest;поздний release (%1, %2), %3 ms;late release (%1, %2), %3 ms;liberación tardía (%1, %2), %3 ms
443;TouchScreenTest;Время удержания: %1 мс;Hold time: %1 ms;Tiempo de pulsación: %1 ms
444;TouchScreenTest;отпущено (%1, %2), задержка %3 мс;released (%1, %2), delay %3 ms;soltado (%1, %2), retardo %3 ms
445;TouchScreenTest;Событие отменено системой;Event cancelled by the system;Evento cancelado por el sistema
446;TouchScreenTest;отменено системой;cancelled by the system;cancelado por el sistema
447;TouchScreenTest;Подозрение на зависание: %1 мс;Possible freeze: %1 ms;Posible bloqueo: %1 ms
448;TouchScreenTest;сброс по таймеру %1 ms;timer reset %1 ms;restablecido por temporizador %1 ms
449;TouchScreenTest;Назад;back;atrás
450;UartToQmlBridge;Ошибка порта: %1;Port error: %1;Error de puerto: %1
451;UpdateDialog;Обнаружен файл;File detected;Archivo detectado
452;UpdateDialog;Версия: ;Version: ;Versión: 
453;UpdateDialog;Предыдущая Версия: ;Previous version: ;Versión anterior: 
454;UpdateDialog;Обновить?;Update?;¿Actualizar?
455;UpdateDialog;Да;Yes;Sí
456;UpdateDialog;Нет;No;No
457;VideoPlayer;Ошибка: Неподдерживаемый формат видео;Error: Unsupported video format;Error: formato de vídeo no compatible
458;VideoPlayer;Ошибка воспроизведения: ;Playback error: ;Error de reproducción: 
459;VideoPlayer;Загрузка...;Loading...;Cargando...
460;VideoPlayer;Нажмите ▶ для воспроизведения;Press ▶ to play;Pulse ▶ para reproducir
461;VideoPlayer;Нет видеофайлов в папке ;No video files in folder ;No hay archivos de vídeo en la carpeta 
462;VideoPlayer;Нет видео;No video;Sin vídeo
463;WiFiConnector;Настройки сети;Network settings;Configuración de red
464;WiFiConnector;Доступные Wi-Fi сети;Available Wi-Fi networks;Redes Wi-Fi disponibles
465;WiFiConnector;Общие;General;General
466;WiFiConnector;Wi-Fi;Wi-Fi;Wi-Fi
467;WiFiConnector;VPN FOTEK;VPN FOTEK;VPN FOTEK
468;WiFiConnector;Текущий IP-адрес устройства:;Current device IP address:;Dirección IP actual del dispositivo:
469;WiFiConnector;Отключиться от сети;Disconnect from network;Desconectarse de la red
470;WiFiConnector;Назад;back;atrás
471;WiFiPassRequest;ВВЕДИТЕ ПАРОЛЬ;ENTER THE PASSWORD;INTRODUZCA LA CONTRASEÑA
472;WiFiPassRequest;Подключить;Connect;Conectar
473;WiFiPassRequest;Отмена;Cancel;Cancelar
474;WifiFileReceive;Модуль интерфейса;Interface module;Módulo de interfaz
475;WifiFileReceive;Модуль управления и связи;Communication module;Módulo de comunicación
476;WifiFileReceive;Модуль аргоновый;Argon module;Módulo de argón
477;WifiFileReceive;Модуль генератора;Generator;GENERADOR
478;WifiFileReceive;Медиафайлы;Media files;Archivos multimedia
479;WifiFileReceive;Приём файлов обновления;Receive update files;Recepción de archivos de actualización
480;WifiFileReceive;1. Включите приём;1. Enable receiving;1. Active la recepción
481;WifiFileReceive;2. Подключитесь к Wi‑Fi;2. Connect to Wi‑Fi;2. Conéctese a la red Wi‑Fi
482;WifiFileReceive;3. Откройте страницу загрузки;3. Open the upload page;3. Abra la página de carga
483;WifiFileReceive;"Аппарат создаст временную точку доступа ""ONYX-AM"",
можете подключиться к ней, используя QR-код справа";"The unit will create a temporary access point ""ONYX-AM"",
you can connect to it using the QR code on the right";"El equipo creará un punto de acceso temporal ""ONYX-AM"",
puede conectarse a él usando el código QR de la derecha"
484;WifiFileReceive;"Отсканируйте QR-код или выберите сеть ONYX-AM в списке Wi‑Fi,
после обнаружения подключения, QR-код изменится";"Scan the QR code or select the ONYX-AM network in the Wi‑Fi list,
once a connection is detected the QR code will change";"Escanee el código QR o seleccione la red ONYX-AM en la lista de Wi‑Fi,
cuando se detecte la conexión, el código QR cambiará"
485;WifiFileReceive;Соединение установлено! Отсканируйте QR-код или откройте адрес вручную в любом браузере;Connection established! Scan the QR code or open the address manually in any browser;¡Conexión establecida! Escanee el código QR o abra la dirección manualmente en cualquier navegador
486;WifiFileReceive;Адрес загрузки;Upload address;Dirección de carga
487;WifiFileReceive;Параметры Wi‑Fi;Wi‑Fi parameters;Parámetros de Wi‑Fi
488;WifiFileReceive; · пароль: ; · password: ; · contraseña: 
489;WifiFileReceive;Серийный номер: ;Serial number: ;Número de serie: 
490;WifiFileReceive; · ; · ; · 
491;WifiFileReceive;Тип аппарата: ;Unit type: ;Tipo de equipo: 
492;WifiFileReceive; · Wi‑Fi: ; · Wi‑Fi: ; · Wi‑Fi: 
493;WifiFileReceive;вкл;on;activado
494;WifiFileReceive;выкл;off;desactivado
495;WifiFileReceive;Выключить приём;Disable receiving;Desactivar recepción
496;WifiFileReceive;Включить приём;Enable receiving;Activar recepción
497;WifiFileReceive;QR появится после включения приёма;QR will appear after receiving is enabled;El QR aparecerá tras activar la recepción
498;WifiFileReceive;Обнаружен релиз: ;Release detected: ;Versión detectada: 
499;WifiFileReceive;Компонент;Component;Componente
500;WifiFileReceive;Обнаружено;Detected;Detectado
501;WifiFileReceive;Текущая версия;Current version;Versión actual
502;WifiFileReceive;Загрузка...;Loading...;Cargando...
503;WifiFileReceive;Последняя загрузка: файлов: ;Last upload: files: ;Última carga: archivos: 
504;WifiFileReceive;Назад;back;atrás
505;logUpdate;Журнал обновлений недоступен;Update log unavailable;Registro de actualizaciones no disponible
506;logUpdate;Записей нет;No records;Sin registros
507;logUpdate;Лог обновлений;Update log;Registro de actualizaciones
508;logUpdate;Назад;back;atrás
509;main;Ты волшебник, Гарри!;You're a wizard, Harry!;¡Eres un mago, Harry!
510;main;Ошибка связи: передача не выполнена;Communication error: transmission failed;Error de comunicación: transmisión fallida
511;main;Ошибка связи: нет ответа;Communication error: no response;Error de comunicación: sin respuesta
512;main;Ошибка связи: неверный ответ;Communication error: invalid response;Error de comunicación: respuesta no válida
513;main;Ошибка связи: неверная длина пакета;Communication error: invalid packet length;Error de comunicación: longitud de paquete no válida
514;main;Ошибка связи: CRC не совпадает;Communication error: CRC mismatch;Error de comunicación: CRC no coincide
515;main;Активация остановлена: холостой ход (автостоп);Activation stopped: idle (autostop);Activación detenida: marcha en vacío (autostop)
516;main;Активация остановлена: короткое замыкание бранш;Activation stopped: jaw short circuit;Activación detenida: cortocircuito de las mordazas
517;main;Активация остановлена: обрыв нейтрального электрода;Activation stopped: neutral electrode break;Activación detenida: desconexión del electrodo neutro
518;main;Активация остановлена: закончился аргон;Activation stopped: argon depleted;Activación detenida: argón agotado
519;main;Активация остановлена: непроходимость газового тракта;Activation stopped: gas line obstruction;Activación detenida: obstrucción del circuito de gas
520;main;Активация остановлена: ошибка генератора;Activation stopped: generator error;Activación detenida: error del generador
521;main;Ошибка: модуль связи не принимает сигналы от МИФ;Error: communication module receives no signals from MIF;Error: el módulo de comunicación no recibe señales del MIF
522;main;Ошибка: генератор не отвечает;Error: generator not responding;Error: el generador no responde
523;main;Ошибка: газовый модуль не отвечает;Error: gas module not responding;Error: el módulo de gas no responde
524;main;Ошибка: не отвечает радиомодуль;Error: radio module not responding;Error: el módulo de radio no responde
525;main;Ошибка: кнопки или педали зажаты до старта;Error: buttons or pedals held down before start;Error: botones o pedales presionados antes del inicio
526;main;Ошибка: МК НЭ не отвечает;Error: NE MCU not responding;Error: el MCU del EN no responde
527;main;Ошибка: МК раскачки не отвечает;Error: driver MCU not responding;Error: el MCU del excitador no responde
528;main;Ошибка: питание НЭ 5В не соответствует норме;Error: NE 5V supply out of range;Error: alimentación de 5 V del EN fuera de rango
529;main;Ошибка: питание НЭ 3,3В не соответствует норме;Error: NE 3.3V supply out of range;Error: alimentación de 3,3 V del EN fuera de rango
530;main;Ошибка: перегрев контроллера НЭ;Error: NE controller overheated;Error: sobrecalentamiento del controlador del EN
531;main;Ошибка: обновление не выполнено;Error: update not completed;Error: actualización no realizada
532;main;Ошибка: нет рабочей прошивки МУС;Error: no working MUS firmware;Error: no hay firmware operativo del MUS
533;main;Критичная ошибка: ИСН при включении;Critical error: ISN at power-on;Error crítico: ISN al encender
534;main;Критичная ошибка: АЦП1 (напряжение контура);Critical error: ADC1 (circuit voltage);Error crítico: ADC1 (tensión del circuito)
535;main;Критичная ошибка: АЦП2 (ток контура);Critical error: ADC2 (circuit current);Error crítico: ADC2 (corriente del circuito)
536;main;Критичная ошибка: АЦП3 (ток генератора);Critical error: ADC3 (generator current);Error crítico: ADC3 (corriente del generador)
537;main;Критичная ошибка: АЦП4 (напряжение ИСН);Critical error: ADC4 (ISN voltage);Error crítico: ADC4 (tensión del ISN)
538;main;Критичная ошибка: реле;Critical error: relay;Error crítico: relé
539;main;Критичная ошибка: ИСН при нормальной работе;Critical error: ISN during normal operation;Error crítico: ISN durante el funcionamiento normal
540;main;Критичная ошибка: не найден резонанс при калибровке НЭ;Critical error: no resonance found during NE calibration;Error crítico: no se encontró resonancia durante la calibración del EN
541;main;Критичная ошибка: АЦП схемы НЭ;Critical error: NE circuit ADC;Error crítico: ADC del circuito del EN
542;main;Ошибка устройства (код 0x;Device error (code 0x;Error del dispositivo (código 0x
543;main;;;
544;main;СВОБОДНЫЕ УСТАНОВКИ;FREE MODE SETTINGS;CONFIGURACIÓN DEL MODO LIBRE
545;main;Последние установки;Last settings;Ajustes recientes
546;main;Питание будет выключено через %1 секунд;Power will be turned off in %1 seconds;La alimentación se apagará en %1 segundos
547;main;ОТМЕНА;CANCEL;CANCELAR
548;main;ВЫКЛЮЧИТЬ;POWER OFF;APAGAR
549;main;"Внимание! Текущая программа

%1

будет перезаписана";"ATTENTION! The current program

%1

will be overwritten";"¡ATENCIÓN! El programa actual

%1

se sobrescribirá"
550;main;ПРИНЯТЬ;ACCEPT;ACEPTAR
551;main;Эндоскопические программы не могут быть использованы совместно с другими программами;Endoscopic programs cannot be used together with other programs;Los programas endoscópicos no pueden usarse junto con otros programas
552;updateWindow;Неизвестный модуль;Unknown module;Módulo desconocido
553;updateWindow;Не выбрана версия для обновления;No version selected for update;No se ha seleccionado una versión para actualizar
554;updateWindow;Модуль интерфейса обновлён до версии ;Interface module updated to version ;Módulo de interfaz actualizado a la versión 
555;updateWindow;Ошибка обновления модуля интерфейса;Interface module update error;Error al actualizar el módulo de interfaz
556;updateWindow;Медиафайлы обновлены до версии ;Media files updated to version ;Archivos multimedia actualizados a la versión 
557;updateWindow;Ошибка обновления медиафайлов;Media files update error;Error al actualizar los archivos multimedia
558;updateWindow;Запущена передача прошивки модуля связи (;Communication module firmware transfer started (;Transferencia del firmware del módulo de comunicación iniciada (
559;updateWindow;););)
560;updateWindow;Ошибка запуска обновления COM;Failed to start COM update;Error al iniciar la actualización de COM
561;updateWindow;Запущена передача прошивки аргонового модуля (;Argon module firmware transfer started (;Transferencia del firmware del módulo de argón iniciada (
562;updateWindow;Ошибка запуска обновления ARG;Failed to start ARG update;Error al iniciar la actualización de ARG
563;updateWindow;Запущена передача прошивки модуля генератора (;Generator module firmware transfer started (;Transferencia del firmware del módulo del generador iniciada (
564;updateWindow;Ошибка запуска обновления GEN;Failed to start GEN update;Error al iniciar la actualización de GEN
565;updateWindow;Модуль интерфейса;Interface module;Módulo de interfaz
566;updateWindow;Модуль управления и связи;Communication module;Módulo de comunicación
567;updateWindow;Модуль аргоновый;Argon module;Módulo de argón
568;updateWindow;Модуль генератора;Generator;GENERADOR
569;updateWindow;Медиафайлы;Media files;Archivos multimedia
570;updateWindow;Обновление ПО;Software update;Actualización de software
571;updateWindow;Список версий: текущие на устройстве и найденные в папке releases (поддерживается релизный формат a.b-c.d-e).;Version list: current on the device and found in the releases folder (release format a.b-c.d-e is supported).;Lista de versiones: actuales en el dispositivo y encontradas en la carpeta releases (se admite el formato de versión a.b-c.d-e).
572;updateWindow;Если выбрана версия релиза a.b-c.d-e, для интерфейса применяется a.b, для медиа — c.d.;If release version a.b-c.d-e is selected, a.b is applied to the interface and c.d to the media.;Si se selecciona la versión a.b-c.d-e, se aplica a.b a la interfaz y c.d a los archivos multimedia.
573;updateWindow;Модуль;Module;Módulo
574;updateWindow;Текущая;Current;Actual
575;updateWindow;В releases;In releases;En releases
576;updateWindow;нет версий;no versions;sin versiones
577;updateWindow;Обновить;Refresh;Actualizar
578;updateWindow;Обновить всё до последних версии;Update everything to the latest versions;Actualizar todo a las últimas versiones
579;updateWindow;Перезапуск;Restart;Reiniciar
580;updateWindow;В одном или нескольких модулях отсутствует рабочая прошивка.;One or more modules have no working firmware.;Uno o varios módulos no tienen firmware operativo.
581;updateWindow;Передача прошивки МК: ;MCU firmware transfer: ;Transferencia de firmware del MCU: 
582;updateWindow;%;%;%
583;updateWindow;Изменения вступят в силу после перезагрузки.;Changes will take effect after a restart.;Los cambios surtirán efecto tras el reinicio.
584;updateWindow;Назад;back;atrás
